ID	Cluster
P09_base_TC_IM_ST_1	C2
P09_base_TC_IM_ST_2	C2
P10_base_TC_IM_ST_1	C1
P10_base_TC_IM_ST_2	C2
P11_base_TC_IM_ST	C2
P12_base_TC_IM_ST_1	C2
P12_base_TC_IM_ST_2	C2
P02_base_TC_IM_ST_1	C2
P02_base_TC_IM_ST_2	C2
P08_base_TC_IM_ST_1	C2
P08_base_TC_IM_ST_2	C1
P17_base_TC_IM_ST_1	C1
P17_base_TC_IM_ST_2	C1
P15_base_TC_IM_ST_1	C2
P17_base_TC_IM_ST_3	C2
P15_base_TC_IM_ST_2	C2
P13_base_TC_IM_ST_1	C1
P13_base_TC_IM_ST_2	C2
P19_base_TC_IM_ST	C1
P21_base_TC_IM_ST_1	C1
P21_base_TC_IM_ST_2	C2
P05_base_TC_IM_ST_1	C1
P05_base_TC_IM_ST_2	C2
P03_base_TC_IM_ST_1	C2
P03_base_TC_IM_ST_2	C1
P03_base_TC_IM_ST_3	C1
P22_base_TC_IM_ST_1	C1
P22_base_TC_IM_ST_2	C2
P22_base_TC_IM_ST_3	C1
P23_base_TC_IM_ST_1	C2
P14_base_TC_IM_ST	C2
P23_base_TC_IM_ST_2	C2
P07_base_TC_IM_ST_1	C2
P07_base_TC_IM_ST_2	C1
P07_base_TC_IM_ST_3	C2
P07_base_TC_IM_ST_4	C1
P06_base_TC_IM_ST_1	C1
P06_base_TC_IM_ST_2	C1
P24_base_TC_IM_ST_1	C2
P24_base_TC_IM_ST_2	C1
P25_base_TC_IM_ST_1	C2
P25_base_TC_IM_ST_2	C2
P26_base_TC_IM_ST	C1
P27_base_TC_IM_ST	C1
P04_base_TC_IM_ST	C1
P28_base_TC_IM_ST_1	C1
P28_base_TC_IM_ST_2	C2
